text,label
denial of normal the con be asked to comment on tragedies an emotional retard,1
just by being able to tweet this insufferable bullshit proves trump a nazi you vagina,1
that is retarded you too cute to be single that is life,1
thought of a real badass mongol style declaration of war the attackers capture a citizen of the soon to be,1
afro american basho,1
yeah retard haha,1
the ching chong chung stuff,1
the dead what a slut still warm when she tweeted this it what a slut that vagina her mate obama who sent the fucking lowlife,1
let your tweets be harmless it will not affect me by the way i am not the faggot one she is n,1
these latinos who have a problem with immigration enforcement should stay in the shithole,1
i feel so much secondhand embarrassment when a white person calls me ppi or milo just say spic like you want to and move on,1
you have got a gorgeous figure what an unfunny twat,1
what a vile vagina,1
oh shut up you twat,1
because i can you fucking retard what does up it up twat chops,1
this fucking faggot,1
holy shit what a faggot laughing my ass off,1
how you on hate on man laughing my ass off go live your life you sour vagina and stay spectating,1
your country s an honest to god shithole fuck off irrelevant foreigner former leader of the murder capital of,1
how about use a cup you mongoloid,1
oh you are not said nun but a means cool a k a afro american,1
the fuck is this vagina on about fuck mike ashley the prick nfc,1
i have not heard the phrase since middle school,1
pruitt is retarded aight,1
the bitch who talked shit ya know how you said who would say that well um hm you on the daily retard,1
i am faggot,1
gone full retard not supposed to go full these ladies and gentlemen is why l need new friends,1
he definitely used to mumble nigger under his breath when dak missed him so problem a day,1
unfollow me if part of baby dyke twitter,1
well i did not pay on my phone you world mongoloid,1
i honestly hate it and get so so angry when people say chink or ching chong seeing cong of whatever the fuck,1
a simple answer to deport the reduce the next aid payment to somalia by these amounts,1
oui je any comp rends parent at side pourquoi crux quit violent actually les migrants n en present pas,1
now i know that you are just a feminazi psycho who wants to take down any m,1
you are retarded,1
for the cupcake code for the retard i am retweeted with my alternate account and commented my main,1
to the group of grown men that i supplied amazing customer service to today who called me a,1
vagina that your dressed up as hard cunt a hard cunt cunt not a very good costume cunt,1
blah blah ching chong i eat dogs,1
my accent is not funny you fucking retard,1
been thinking about it and glad that spic is dead,1
neil lennon a soup taker haha kin hell,1
in the mongol dreams,1
laughing out loud just let you know a fact that ching chong hurt at all,1
shut year old lame ass up dyke,1
your state is a backwards shithole last in education in every category stop pretending,1
cheating vagina just admitted he handled the ball to score typical leeds cunts nfc lfc,1
sweden reacts to being outnumbered by immigrants,1
doreen with a few snacks returns to the room to find everything spic and span including her clothes,1
negra novena cavalcade oh afro american pseudo,1
you are actually retarded,1
which begs the question what did obama do for years to help those,1
guess what happens when you allow people from to invade our country we become a,1
that starving faggot and his starving faggot dad thought me myself and i and my family where playing a game his,1
lots of smaller payments this time most of the faggot s credit cards could not handle a hit but still more,1
good morning ching chong,1
wapking big sexy photos dylan ryder and afro american,1
i told you he what a slut retarded,1
never forget niggaz is retarded,1
i like mongoloid better anyway,1
oh poor deluded one no matter how much you drink the cool aid to always be a spic,1
please stop putting your cancer on twitter you retard,1
bandri go back to your country pakistan not is your country is afghanistan,1
using bombs to intimidate voters is only common in shithole countries what a sad day mailbombed,1
are you there men created the out of africa theory marcus garvey what a slut an agent funded and schooled by you there so called jews,1
he did a good job on your bantu ass bet you to to even know that,1
governor brown vetoed senator ricardo lara s bill sb that would have allowed illegal aliens to serve on b,1
if you get preterit i am going to punch your stomach until its retarded,1
it really is pauline hanson and her it is okay to be white thing are like the tip of the garbage genocide iceberg,1
so my new neighbor is a dyke i just realized she peeks out when my house door opens but only comes out when i,1
what the fuck you talking about you fat four eyed fucking retard,1
the population of undocumented immigrants is widely thought to be around million but the study which what a slut con,1
listening to afro american swan,1
london fans hate you too you fat vagina it means times out of the office guns n roses,1
you call that singing the vagina would get four for that performance she got any likability,1
do you need a cool cowhide coat for an extraordinary event dwayne johnson baywatch lifeguard jacket this spic and,1
ching chong bing bong eat dog,1
well china does get itself wrecked by mongols while japan repel the mongol assault twice so,1
what are you retarded your going to get the cheese touch,1
please charlene you are most welcome here in the shithole you helped created by supporting,1
i hate when niggas really think about to entertain a conversation about how my dyke fucks me move year old goofy ass around nigga,1
breed,1
if you think this is sport entertainment or culture you are a stupid cunt,1
out this daft,1
love the term feminazis mind if i use it funny how they are always crying about,1
you called my son retarded do not call my son that,1
i thank god america is not like the free speech free shithole countries of europe to keep america different is,1
who is this faggot,1
only leicester i like is the cheese fucking yobbo cunts,1
once you go hardy you go retarded,1
is a rag head the same as a camel swagger,1
on pm iranian expressed his desire to give pakistani nationality to afghan and bengali refugees on,1
who ever is making the calls for the is pretty retarded and does not learn from mistakes,1
never hit a woman but load me up on stella artist iron my vest because for this vagina make the exception,1
laughing out loud hey man you started writing in ching chong first okay www also now that i know that you are a,1
governments own the water in those world shithole countries that is a regulation based solution,1
thanks to the historic taco bowls that i signed into law your crooked hillary are going up your shithole,1
best television do not watch a lot of tv probably malamute do not care if i am a faggot that shit what a slut good,1
sgt with crazy retarded impossible time hack after pt into cops be back at b co in minutes fall,1
straight girls go to hamburger mary once and start thinking they can say faggot,1
